,Names,Description
236,237. Gesture Phase Segmentation," The dataset is composed by features extracted from 7 videos with people gesticulating, aiming at studying Gesture Phase Segmentation. It contains 50 attributes divided into two files for each video."
237,238. Gisette, GISETTE is a handwritten digit recognition problem. The problem is to separate the highly confusible digits '4' and '9'. This dataset is one of five datasets of the NIPS 2003 feature selection challenge.
238,239. GitHub MUSAE," A social network of GitHub users with user-level attributes, connectivity data and a binary target variable."
239,240. Glass Identification," From USA Forensic Science Service; 6 types of glass; defined in terms of their oxide content (i.e. Na, Fe, K, etc)"
240,241. GNFUV Unmanned Surface Vehicles Sensor Data," The data-set contains four (4) sets of mobile sensor readings data (humidity, temperature) corresponding to a swarm of four (4) Unmanned Surface Vehicles (USVs) in a test-bed in Athens (Greece)."
241,242. GNFUV Unmanned Surface Vehicles Sensor Data Set 2," The data-set contains eight (2x4) data-sets of mobile sensor readings data (humidity, temperature) corresponding to a swarm of four Unmanned Surface Vehicles (USVs) in a test-bed, Athens, Greece."
242,243. GPS Trajectories, The dataset has been feed by Android app called Go!Track. It is available at Goolge Play Store(https
243,244. Grammatical Facial Expressions, This dataset supports the development of models that make possible to interpret Grammatical Facial Expressions from Brazilian Sign Language (Libras).
244,245. Greenhouse Gas Observing Network, Design an observing network to monitor emissions of a greenhouse gas (GHG) in California given time series of synthetic observations and tracers from weather model simulations.
245,246. Guitar Chords finger positions, Position of the fingers for 2633 guitar chords in standard tuning (double checked with software)
246,247. Haberman's Survival, Dataset contains cases from study conducted on the survival of patients who had undergone surgery for breast cancer
247,248. Hayes-Roth, Topic
248,249. HCC Survival, Hepatocellular Carcinoma dataset (HCC dataset) was collected at a University Hospital in Portugal. It contains real clinical data of 165 patients diagnosed with HCC.
249,250. HCV data, The data set contains laboratory values of blood donors and Hepatitis C patients and demographic values like age.
250,251. Health News in Twitter," The data was collected in 2015 using Twitter API. This dataset contains health news from more than 15 major health news agencies such as BBC, CNN, and NYT."
251,252. Heart Disease, 4 databases
252,253. Heart failure clinical records," This dataset contains the medical records of 299 patients who had heart failure, collected during their follow-up period, where each patient profile has 13 clinical features."
253,254. Hepatitis, From G.Gong
254,255. Hepatitis C Virus (HCV) for Egyptian patients, Egyptian patients who underwent treatment dosages for HCV about 18 months. Discretization should be applied based on expert recommendations; there is an attached file shows how.
255,256. HEPMASS, The search for exotic particles requires sorting through a large number of collisions to find the events of interest. This data set challenges one to detect a new particle of unknown mass.
256,257. Heterogeneity Activity Recognition," The Heterogeneity Human Activity Recognition (HHAR) dataset from Smartphones and Smartwatches is a dataset devised to benchmark human activity recognition algorithms (classification, automatic data segmentation, sensor fusion, feature extraction, etc.) in real-world contexts; specifically, the dataset is gathered with a variety of different device models and use-scenarios, in order to reflect sensing heterogeneities to be expected in real deployments."
257,258. HIGGS, This is a classification problem to distinguish between a signal process which produces Higgs bosons and a background process which does not.
258,259. Higher Education Students Performance Evaluation Dataset, The data was collected from the Faculty of Engineering and Faculty of Educational Sciences students in 2019. The purpose is to predict students' end-of-term performances using ML techniques.
259,260. Hill-Valley," Each record represents 100 points on a two-dimensional graph. When plotted in order (from 1 through 100) as the Y co-ordinate, the points will create either a Hill (a �bump� in the terrain) or a Valley (a �dip� in the terrain)."
260,261. HIV-1 protease cleavage, The data contains lists of octamers (8 amino acids) and a flag (-1 or 1) depending on whether HIV-1 protease will cleave in the central position (between amino acids 4 and 5).
261,262. Horse Colic," Well documented attributes; 368 instances with 28 attributes (continuous, discrete, and nominal); 30% missing values"
262,263. Horton General Hospital," Horton General Hospital is in the town Banbury not far from Oxford, UK."
263,264. HTRU2," Pulsar candidates collected during the HTRU survey. Pulsars are a type of star, of considerable scientific interest. Candidates must be classified in to pulsar and non-pulsar classes to aid discovery."
264,265. Human Activity Recognition from Continuous Ambient Sensor Data, This dataset represents ambient data collected in homes with volunteer residents. Data are collected continuously while residents perform their normal routines.
265,266. Human Activity Recognition Using Smartphones, Human Activity Recognition database built from the recordings of 30 subjects performing activities of daily living (ADL) while carrying a waist-mounted smartphone with embedded inertial sensors.
266,267. Hungarian Chickenpox Cases, A spatio-temporal dataset of weekly chickenpox cases from Hungary. The dataset consists of a county-level adjacency matrix and time series of the county-level reported cases between 2005 and 2015.
267,"268. Hybrid Indoor Positioning Dataset from WiFi RSSI, Bluetooth and magnetometer"," The dataset was created for the comparison and evaluation of hybrid indoor positioning methods. The dataset presented contains data from W-LAN and Bluetooth interfaces, and Magnetometer."
268,269. ICMLA 2014 Accepted Papers Data Set," This data set compromises the metadata for the 2014 ICMLA conference's accepted papers, including ID, paper titles, author's keywords, abstracts and sessions in which they were exposed."
269,270. ICU, Data set prepared for the use of participants for the 1994 AAAI Spring Symposium on Artificial Intelligence in Medicine.
270,271. IDA2016Challenge, The dataset consists of data collected from heavy Scania trucks in everyday usage.
271,272. IIWA14-R820-Gazebo-Dataset-10Trajectories, This dataset contain 10 Trajectories of IIWA14-R820 Gazebo robot model. Based in paper 'Improving the Inverse Dynamics Model of the KUKA LWR IV+ using Independent Joint Learning' of Shareef (2016).
272,273. ILPD (Indian Liver Patient Dataset)," This data set contains 10 variables that are age, gender, total Bilirubin, direct Bilirubin, total proteins, albumin, A/G ratio, SGPT, SGOT and Alkphos."
273,274. Image Recognition Task Execution Times in Mobile Edge Computing, Recorded task execution times for four Edge Servers submitted by edge node; node sends images to servers for image recognition tasks. The servers perform the tasks and return the results to nodes.
274,275. Image Recognition Task Execution Times in Mobile Edge Computing, This file contains four (4) datasets of the execution times for image recognition tasks executed in different edge computing servers.
275,276. Image Segmentation," Image data described by high-level numeric-valued attributes, 7 classes"
276,277. Immunotherapy Dataset, This dataset contains information about wart treatment results of 90 patients using immunotherapy.
277,278. Improved Spiral Test Using Digitized Graphics Tablet for Monitoring Parkinson’s Disease," Handwriting database consists of 25 PWP(People with Parkinson) and 15 healthy individuals.Three types of recordings (Static Spiral Test, Dynamic Spiral Test and Stability Test) are taken."
278,279. in-vehicle coupon recommendation, This data studies whether a person will accept the coupon recommended to him in different driving scenarios
279,280. Incident management process enriched event log, This event log was extracted from data gathered from the audit system of an instance of the ServiceNow platform used by an IT company and enriched with data loaded from a relational database.
280,281. Individual household electric power consumption, Measurements of electric power consumption in one household with a one-minute sampling rate over a period of almost 4 years. Different electrical quantities and some sub-metering values are available.
281,282. Indoor User Movement Prediction from RSS data, This dataset contains temporal data from a Wireless Sensor Network deployed in real-world office environments. The task is intended as real-life benchmark in the area of Ambient Assisted Living.
282,283. Influenza outbreak event prediction via Twitter data," By identifying influenza-related tweets, the goal is to forecast the spatiotemporal patterns of influenza outbreaks for different locations and dates."
283,284. Insurance Company Benchmark (COIL 2000), This data set used in the CoIL 2000 Challenge contains information on customers of an insurance company. The data consists of 86 variables and includes product usage data and socio-demographic data
284,285. Intelligent Media Accelerometer and Gyroscope (IM-AccGyro) Dataset, The IM-AccGyro dataset is devised to benchmark techniques dealing with human activity recognition based on inertial sensors.
285,286. Internet Advertisements, This dataset represents a set of possible advertisements on Internet pages.
286,287. Internet Firewall Data, this data set was collected from the internet traffic records on a university's firewall.
287,288. Internet Usage Data, This data contains general demographic information on internet users in 1997.
288,289. Ionosphere, Classification of radar returns from the ionosphere
289,290. IPUMS Census Database," This data set contains unweighted PUMS census data from the Los Angeles and Long Beach areas for the years 1970, 1980, and 1990."
290,291. Iranian Churn Dataset, This dataset is randomly collected from an Iranian telecom company’s database over a period of 12 months.
291,292. Iranian Churn Dataset, This dataset is randomly collected from an Iranian telecom company’s database over a period of 12 months.
292,293. Iris," Famous database; from Fisher, 1936"
293,294. ISOLET, Goal
294,295. ISTANBUL STOCK EXCHANGE," Data sets includes returns of Istanbul Stock Exchange with seven other international index; SP, DAX, FTSE, NIKKEI, BOVESPA, MSCE_EU, MSCI_EM from Jun 5, 2009 to Feb 22, 2011."
295,296. Japanese Credit Screening, Includes domain theory (generated by talking to Japanese domain experts); data in Lisp
296,297. Japanese Vowels, This dataset records 640 time series of 12 LPC cepstrum coefficients taken from nine male speakers.
297,298. Kain Tradisional Sambas," This data set consist of 5 patterns of Kain Tradisional Sambas's features from CFS (Correlation-Based Feature Selection) method which are Angular Second Moment, Contrast, and Correlation"
298,299. KASANDR," KASANDR is a novel, publicly available collection for recommendation systems that records the behavior of customers of the European leader in e-Commerce advertising, Kelkoo."
299,300. KDC-4007 dataset Collection, KDC-4007 dataset Collection is the Kurdish Documents Classification text used in categories regarding Kurdish Sorani news and articles.
300,301. KDD Cup 1998 Data," This is the data set used for The Second International Knowledge Discovery and Data Mining Tools Competition, which was held in conjunction with KDD-98"
301,302. KDD Cup 1999 Data," This is the data set used for The Third International Knowledge Discovery and Data Mining Tools Competition, which was held in conjunction with KDD-99"
302,303. KEGG Metabolic Reaction Network (Undirected), KEGG Metabolic pathways modeled as un-directed reaction network. Variety of graphical features presented.
303,304. KEGG Metabolic Relation Network (Directed), KEGG Metabolic pathways modeled as directed relation network. Variety of graphical features presented.
304,305. Kinship, Relational dataset
305,306. Kitsune Network Attack Dataset," A cybersecurity dataset containing nine different network attacks on a commercial IP-based surveillance system and an IoT network. The dataset includes reconnaissance, MitM, DoS, and botnet attacks."
306,307. Lab Test," This data set consists of ALT, AST, urea, glucose, and creatine kinase laboratory values of the patients. Creatine Kinase values have been converted according to general reference values."
307,308. Labeled Text Forum Threads Dataset," The dataset is a collection of text forum threads with class labels reflects the reply quality to the Initial-Post, 3 for complete relevant, 2 for partially relevant, and 1 for irrelevant"
308,309. Labor Relations, From Collective Bargaining Review
309,310. Las Vegas Strip," This dataset includes quantitative and categorical features from online reviews from 21 hotels located in Las Vegas Strip, extracted from TripAdvisor (http"
310,311. LastFM Asia Social Network, A social network of LastFM users from Asian countries. The related task is predicting the country of origin based on social relations and artists liked.
311,312. LastFM Asia Social Network, A social network of LastFM users which was collected from the public API in March 2020.
312,313. Leaf, This dataset consists in a collection of shape and texture features extracted from digital images of leaf specimens originating from a total of 40 different plant species.
313,314. LED Display Domain, From Classification and Regression Trees book; We provide here 2 C programs for generating sample databases
314,315. Legal Case Reports," A textual corpus of 4000 legal cases for automatic summarization and citation analysis. For each document we collect catchphrases, citations sentences, citation catchphrases and citation classes."
315,316. Lenses, Database for fitting contact lenses
316,317. Letter Recognition, Database of character image features; try to identify the letter
317,318. Libras Movement," The data set contains 15 classes of 24 instances each. Each class references to a hand movement type in LIBRAS (Portuguese name 'L�ngua BRAsileira de Sinais', oficial brazilian signal language)."
318,319. Liver Disorders, BUPA Medical Research Ltd. database donated by Richard S. Forsyth
319,320. Localization Data for Person Activity, Data contains recordings of five people performing different activities. Each person wore four sensors (tags) while performing the same scenario five times.
320,321. Logic Theorist, All code for Logic Theorist
321,322. Low Resolution Spectrometer, From IRAS data -- NASA Ames Research Center
322,323. LSVT Voice Rehabilitation," 126 samples from 14 participants, 309 features. Aim"
323,324. Lung Cancer, Lung cancer data; no attribute definitions
324,325. Lymphography," This lymphography domain was obtained from the University Medical Centre, Institute of Oncology, Ljubljana, Yugoslavia. (Restricted access)"
325,326. M. Tuberculosis Genes," Data giving characteristics of each ORF (potential gene) in the M. tuberculosis bacterium. Sequence, homology (similarity to other genes) and structural information, and function (if known) are provided"
326,327. Machine Learning based ZZAlpha Ltd. Stock Recommendations 2012-2014," The data here are the ZZAlpha® machine learning recommendations made for various US traded stock portfolios the morning of each day during the 3 year period Jan 1, 2012 - Dec 31, 2014."
327,328. Madelon," MADELON is an artificial dataset, which was part of the NIPS 2003 feature selection challenge. This is a two-class classification problem with continuous input variables. The difficulty is that the problem is multivariate and highly non-linear."
328,329. MAGIC Gamma Telescope, Data are MC generated to simulate registration of high energy gamma particles in an atmospheric Cherenkov telescope
329,330. Malware static and dynamic features VxHeaven and Virus Total, 3 datasets
330,331. Mammographic Mass, Discrimination of benign and malignant mammographic masses based on BI-RADS attributes and the patient's age.
331,332. Maternal Health Risk Data Set," Data has been collected from different hospitals, community clinics, maternal health cares from the rural areas of Bangladesh through the IoT based risk monitoring system."
332,333. Mechanical Analysis, Fault diagnosis problem of electromechanical devices; also PUMPS DATA SET is newer version with domain theory and results
333,334. Mesothelioma’s disease data set ," Mesothelioma’s disease data set were prepared at Dicle University Faculty of Medicine in Turkey. Three hundred and twenty-four Mesothelioma patient data. In the dataset, all samples have 34 features."
334,335. Meta-data, Meta-Data was used in order to give advice about which classification method is appropriate for a particular dataset (taken from results of Statlog project).
335,336. Metro Interstate Traffic Volume," Hourly Minneapolis-St Paul, MN traffic volume for westbound I-94. Includes weather and holiday features from 2012-2018."
336,337. MEU-Mobile KSD," This dataset contains keystroke dynamics data collected on a touch mobile device (Nexus 7). The dataset contains 2856 records, 51 records per subject for 56 subjects."
337,338. MEx," The MEx Multi-modal Exercise dataset contains data of 7 different physiotherapy exercises, performed by 30 subjects recorded with 2 accelerometers, a pressure mat and a depth camera."
338,339. MHEALTH Dataset, The MHEALTH (Mobile Health) dataset is devised to benchmark techniques dealing with human behavior analysis based on multimodal body sensing.
339,340. Mice Protein Expression," Expression levels of 77 proteins measured in the cerebral cortex of 8 classes of control and Down syndrome mice exposed to context fear conditioning, a task used to assess associative learning."
340,341. microblogPCU, MicroblogPCU data is crawled from sina weibo microblog[http
341,342. MicroMass, A dataset to explore machine learning approaches for the identification of microorganisms from mass-spectrometry data.
342,343. MiniBooNE particle identification, This dataset is taken from the MiniBooNE experiment and is used to distinguish electron neutrinos (signal) from muon neutrinos (background).
343,344. Miskolc IIS Hybrid IPS," The dataset was created for the comparison and evaluation of hybrid indoor positioning methods. The dataset presented contains data from W-LAN and Bluetooth interfaces, and Magnetometer."
344,345. Mobile Robots, Learning concepts from sensor data of a mobile robot; set of data sets
345,346. MoCap Hand Postures," 5 types of hand postures from 12 users were recorded using unlabeled markers attached to fingers of a glove in a motion capture environment. Due to resolution and occlusion, missing values are common."
346,347. Molecular Biology (Promoter Gene Sequences), E. Coli promoter gene sequences (DNA) with partial domain theory
347,348. Molecular Biology (Protein Secondary Structure), From CMU connectionist bench repository; Classifies secondary structure of certain globular proteins
348,349. Molecular Biology (Splice-junction Gene Sequences), Primate splice-junction gene sequences (DNA) with associated imperfect domain theory
349,350. MONK's Problems, A set of three artificial domains over the same attribute space; Used to test a wide range of induction algorithms
350,351. Monolithic Columns in Troad and Mysia Region, These data have been constituted to clarify the distribution in Northwestern Anatolia of the monolithic columns produced in the ancient granite quarries located in Troad and Mysia Regions.
351,352. Monolithic Columns in Troad and Mysia Region, These data have been constituted to clarify the distribution in Northwestern Anatolia of the monolithic columns produced in the ancient granite quarries located in Troad and Mysia Regions.
352,353. Moral Reasoner, Horn-clause model that qualitatively simulates moral reasoning; Theory includes negated literals
353,354. Motion Capture Hand Postures," 5 types of hand postures from 12 users were recorded using unlabeled markers on fingers of a glove in a motion capture environment. Due to resolution and occlusion, missing values are common."
354,355. Movie," This data set contains a list of over 10000 films including many older, odd, and cult films. There is information on actors, casts, directors, producers, studios, etc."
355,356. MSNBC.com Anonymous Web Data," This data describes the page visits of users who visited msnbc.com on September 28, 1999. Visits are recorded at the level of URL category (see description) and are recorded in time order."
356,357. Mturk User-Perceived Clusters over Images," This dataset was collected by Shan-Hung Wu and DataLab members at NTHU, Taiwan. There're 325 user-perceived clusters from 100 users and their corresponding descriptions."
357,358. Multi-view Brain Networks, Multi-layer brain network datasets derived from the resting-state electroencephalography (EEG) data.
358,359. Multimodal Damage Identification for Humanitarian Computing," 5879 captioned images (image and text) from social media related to damage during natural disasters/wars, and belong to 6 classes"
359,360. Multiple Features, This dataset consists of features of handwritten numerals (`0'--`9') extracted from a collection of Dutch utility maps
360,361. Mushroom, From Audobon Society Field Guide; mushrooms described in terms of physical characteristics; classification
361,362. Musk (Version 1), The goal is to learn to predict whether new molecules will be musks or non-musks
362,363. Musk (Version 2), The goal is to learn to predict whether new molecules will be musks or non-musks
363,364. Myocardial infarction complications, Prediction of myocardial infarction complications
364,365. Nasarian CAD Dataset, This dataset comprises records of 150 subjects (all male employees in Iran have visited the Abadan Occupational (Industrial) Medicine Clinic) and 52 features.
365,366. News Aggregator, References to news pages collected from an web aggregator in the period from 10-March-2014 to 10-August-2014. The resources are grouped into clusters that represent pages discussing the same story.
366,367. News Popularity in Multiple Social Media Platforms, Large data set of news items and their respective social feedback on multiple platforms
367,368. Newspaper and magazine images segmentation dataset, Dataset is well suited for segmentation tasks. It contains 101 scanned pages from different newspapers and magazines in Russian with ground truth pixel-based masks.
368,369. NIPS Conference Papers 1987-2015, This data set contains the distribution of words in the full text of the NIPS conference papers published from 1987 to 2015.
369,370. NoisyOffice, Corpus intended to do cleaning (or binarization) and enhancement of noisy grayscale printed text images using supervised learning methods. Noisy images and their corresponding ground truth provided.
370,371. Nomao," Nomao collects data about places (name, phone, localization...) from many sources. Deduplication consists in detecting what data refer to the same place. Instances in the dataset compare 2 spots."
371,372. Non verbal tourists data, This dataset contains the information about non-verbal preferences of tourists
372,373. Northix, Northix is designed to be a schema matching benchmark problem for data integration of two entity relationship databases.
373,374. NSF Research Award Abstracts 1990-2003," This data set consists of (a) 129,000 abstracts describing NSF awards for basic research, (b) bag-of-word data files extracted from the abstracts, (c) a list of words used for indexing the bag-of-word"
374,375. Nursery, Nursery Database was derived from a hierarchical decision model originally developed to rank applications for nursery schools.
375,376. NYSK, NYSK (New York v. Strauss-Kahn) is a collection of English news articles about the case relating to allegations of sexual assault against the former IMF director Dominique Strauss-Kahn (May 2011).
376,377. Occupancy Detection ," Experimental data used for binary classification (room occupancy) from Temperature,Humidity,Light and CO2. Ground-truth occupancy was obtained from time stamped pictures that were taken every minute."
377,378. OCT data & Color Fundus Images of Left & Right Eyes, This dataset contains OCT data (in mat format) and color fundus data (in jpg format) of left & right eyes of 50 healthy persons.
378,379. One-hundred plant species leaves data set," Sixteen samples of leaf each of one-hundred plant species. For each sample, a shape descriptor, fine scale margin and texture histogram are given."
379,380. Online Handwritten Assamese Characters Dataset, This is a dataset of 8235 online handwritten assamese characters. The “online” process involves capturing of data as text is written on a digitizing tablet with an electronic pen.
380,381. Online News Popularity, This dataset summarizes a heterogeneous set of features about articles published by Mashable in a period of two years. The goal is to predict the number of shares in social networks (popularity).
381,382. Online Retail, This is a transnational data set which contains all the transactions occurring between 01/12/2010 and 09/12/2011 for a UK-based and registered non-store online retail.
382,383. Online Retail II, A real online retail transaction data set of two years.
383,384. Online Shoppers Purchasing Intention Dataset," Of the 12,330 sessions in the dataset, 84.5% (10,422) were negative class samples that did not end with shopping, and the rest (1908) were positive class samples ending with shopping."
384,385. Online Video Characteristics and Transcoding Time Dataset, The dataset contains a million randomly sampled video instances listing 10 fundamental video characteristics along with the YouTube video ID.
385,386. Open University Learning Analytics dataset," Open University Learning Analytics Dataset contains data about courses, students and their interactions with Virtual Learning Environment for seven selected courses and more than 30000 students."
386,387. Opinion Corpus for Lebanese Arabic Reviews (OCLAR)," Opinion Corpus for Lebanese Arabic Reviews (OCLAR) corpus is utilizable for Arabic sentiment classification on services’ reviews, including hotels, restaurants, shops, and others."
387,388. Opinosis Opinion ⁄ Review, This dataset contains sentences extracted from user reviews on a given topic. Example topics are “performance of Toyota Camry” and “sound quality of ipod nano”.
388,389. OpinRank Review Dataset," This data set contains user reviews of cars and and hotels collected from Tripadvisor (~259,000 reviews) and Edmunds (~42,230 reviews)."
389,390. OPPORTUNITY Activity Recognition," The OPPORTUNITY Dataset for Human Activity Recognition from Wearable, Object, and Ambient Sensors is a dataset devised to benchmark human activity recognition algorithms (classification, automatic data segmentation, sensor fusion, feature extraction, etc)."
390,391. Optical Interconnection Network , This dataset contains 640 performance measurements from a simulation of 2-Dimensional Multiprocessor Optical Interconnection Network.
391,392. Optical Recognition of Handwritten Digits, Two versions of this database available; see folder
392,393. Othello Domain Theory, Used in research to generate features for an inductive learning system
393,394. Ozone Level Detection," Two ground ozone level data sets are included in this collection. One is the eight hour peak set (eighthr.data), the other is the one hour peak set (onehr.data). Those data were collected from 1998 to 2004 at the Houston, Galveston and Brazoria area."
394,395. p53 Mutants, The goal is to model mutant p53 transcriptional activity (active vs inactive) based on data extracted from biophysical simulations.
395,396. Page Blocks Classification, The problem consists of classifying all the blocks of the page layout of a document that has been detected by a segmentation process.
396,397. PAMAP2 Physical Activity Monitoring," The PAMAP2 Physical Activity Monitoring dataset contains data of 18 different physical activities, performed by 9 subjects wearing 3 inertial measurement units and a heart rate monitor."
397,398. PANDOR, PANDOR is a novel and publicly available dataset for online recommendation provided by Purch (http
398,399. Paper Reviews, This sentiment analysis data set contains scientific paper reviews from an international conference on computing and informatics. The task is to predict the orientation or the evaluation of a review.
399,400. Parking Birmingham, Data collected from car parks in Birmingham that are operated by NCP from Birmingham City Council. UK Open Government Licence (OGL). https
400,401. Parkinson Dataset with replicated acoustic features , Contains acoustic features extracted from 3 voice recording replications of the sustained /a/ phonation for each one of the 80 subjects (40 of them with Parkinson's Disease).
401,402. Parkinson Disease Spiral Drawings Using Digitized Graphics Tablet," Handwriting database consists of 62 PWP(People with Parkinson) and 15 healthy individuals. Three types of recordings (Static Spiral Test, Dynamic Spiral Test and Stability Test) are taken."
402,403. Parkinson Speech Dataset with Multiple Types of Sound Recordings," The training data belongs to 20 Parkinson's Disease (PD) patients and 20 healthy subjects. From all subjects, multiple types of sound recordings (26) are taken."
403,404. Parkinson's Disease Classification, The data used in this study were gathered from 188 patients with PD (107 men and 81 women) with ages ranging from 33 to 87 (65.1±10.9).
404,405. Parkinsons, Oxford Parkinson's Disease Detection Dataset
405,406. Parkinsons Telemonitoring, Oxford Parkinson's Disease Telemonitoring Dataset
406,407. Pedal Me Bicycle Deliveries, A dataset of weekly bicycle package deliveries by Pedal Me in London during 2020 and 2021. Nodes in the graph represent geographical units and edges are proximity based mutual adjacency relationships.
407,408. Pedestrian in Traffic Dataset, This data-set contains a number of pedestrian tracks recorded from a vehicle driving in a town in southern Germany. The data is particularly well-suited for multi-agent motion prediction tasks.
408,409. PEMS-SF," 15 months worth of daily data (440 daily records) that describes the occupancy rate, between 0 and 1, of different car lanes of the San Francisco bay area freeways across time."
409,410. Pen-Based Recognition of Handwritten Digits, Digit database of 250 samples from 44 writers
410,411. Perfume Data, This data consists of odors of 20 different perfumes. Data was obtained by using a handheld odor meter (OMX-GR sensor) per second for 28 seconds period.
411,412. Person Classification Gait Data," Gait is considered a biometric criterion. Therefore, we tried to classify people with gait analysis with this gait data set."
412,413. Phishing Websites, This dataset collected mainly from
413,414. Physical Unclonable Functions," The dataset is generated from Physical Unclonable Functions (PUFs) simulation, specifically XOR Arbiter PUFs. PUFs are used for authentication purposes. For more info, refer to our paper below."
414,415. Physicochemical Properties of Protein Tertiary Structure, This is a data set of Physicochemical Properties of Protein Tertiary Structure. The data set is taken from CASP 5-9. There are 45730 decoys and size varying from 0 to 21 armstrong.
415,416. Pioneer-1 Mobile Robot Data," This dataset contains time series sensor readings of the Pioneer-1 mobile robot. The data is broken into ""experiences"" in which the robot takes action for some period of time and experiences a control"
416,417. Pittsburgh Bridges, Bridges database that has original and numeric-discretized datasets
417,418. Planning Relax, The dataset concerns with the classification of two mental stages from recorded EEG signals
418,419. Plants, Data has been extracted from the USDA plants database. It contains all plants (species and genera) in the database and the states of USA and Canada where they occur.
419,420. PM2.5 Data of Five Chinese Cities," This hourly data set contains the PM2.5 data in Beijing, Shanghai, Guangzhou, Chengdu and Shenyang. Meanwhile, meteorological data for each city are also included."
420,421. PMU-UD," The handwritten dataset was collected from 170 participants with a total of 5,180 numeral patterns. The dataset is named Prince Mohammad Bin Fahd University - Urdu/Arabic Database (PMU-UD)."
421,422. Poker Hand, Purpose is to predict poker hands
422,423. Polish companies bankruptcy data," The dataset is about bankruptcy prediction of Polish companies.The bankrupt companies were analyzed in the period 2000-2012, while the still operating companies were evaluated from 2007 to 2013."
423,424. Post-Operative Patient, Dataset of patient features
424,425. Power consumption of Tetouan city, This dataset is related to power consumption of three different distribution networks of Tetouan city which is located in north Morocco.
425,426. PPG-DaLiA," PPG-DaLiA contains data from 15 subjects wearing physiological and motion sensors, providing a PPG dataset for motion compensation and heart rate estimation in Daily Life Activities."
426,427. Predict keywords activities in a online social media, The data from Twitter was collected during 360 consecutive days. It was done by querying 1497 English keywords sampled from Wikipedia. This dataset is proposed in a Learning to rank setting.
427,428. Primary Tumor, From Ljubljana Oncology Institute
428,429. Prodigy," Assorted domains like blocksworld, eightpuzzle, and schedworld."
429,430. Productivity Prediction of Garment Employees, This dataset includes important attributes of the garment manufacturing process and the productivity of the employees which had been collected manually and also been validated by the industry experts.
430,431. Protein Data, Undocumented
431,432. Pseudo Periodic Synthetic Time Series," This data set is designed for testing indexing schemes in time series databases. The data appears highly periodic, but never exactly repeats itself."
432,433. PubChem Bioassay Data, These highly imbalanced bioassay datasets are from the differing types of screening that can be performed using HTS technology. 21 datasets were created from 12 bioassays.
433,434. QSAR androgen receptor," 1024 binary attributes (molecular fingerprints) used to classify 1687 chemicals into 2 classes (binder to androgen receptor/positive, non-binder to androgen receptor /negative)"
434,435. QSAR aquatic toxicity, Data set containing values for 8 attributes (molecular descriptors) of 546 chemicals used to predict quantitative acute aquatic toxicity towards Daphnia Magna..
435,436. QSAR Bioconcentration classes dataset," Dataset of manually-curated Bioconcentration factor (BCF, fish) and mechanistic classes for QSAR modeling."
436,437. QSAR biodegradation, Data set containing values for 41 attributes (molecular descriptors) used to classify 1055 chemicals into 2 classes (ready and not ready biodegradable).
437,438. QSAR fish bioconcentration factor (BCF), Experimental bioconcentration factor (BCF) for 1056 molecules and binary fingeprints (extended connectivity) to be used for QSAR modeling.
438,439. QSAR fish toxicity, Data set containing values for 6 attributes (molecular descriptors) of 908 chemicals used to predict quantitative acute aquatic toxicity towards the fish Pimephales promelas (fathead minnow).
439,440. QSAR oral toxicity," Data set containing values for 1024 binary attributes (molecular fingerprints) used to classify 8992 chemicals into 2 classes (very toxic/positive, not very toxic/negative)"
440,441. QtyT40I10D100K," Since there is no numerical sequential data stream available in standard data sets, this data set is generated from the original T40I10D100K data set"
441,442. Quadruped Mammals, The file animals.c is a data generator of structured instances representing quadruped animals
442,443. Qualitative Structure Activity Relationships, Two sets of datasets are given
443,444. Qualitative_Bankruptcy, Predict the Bankruptcy from Qualitative parameters from experts.
444,445. Quality Assessment of Digital Colposcopies, This dataset explores the subjective quality assessment of digital colposcopies.
445,446. Query Analytics Workloads Dataset, The data-set contains three (3) sets of range/radius query workloads from Gaussian distributions over a real dataset; Each query is associated with aggregate scalar values (count/sum/average).
446,447. Raisin Dataset," Images of the Kecimen and Besni raisin varieties were obtained with CVS. A total of 900 raisins were used, including 450 from both varieties, and 7 morphological features were extracted."
447,448. Real estate valuation data set," The “real estate valuation” is a regression problem. The market historical data set of real estate valuation are collected from Sindian Dist., New Taipei City, Taiwan."
448,449. Real-time Election Results, Portugal 2019
449,450. REALDISP Activity Recognition Dataset, The REALDISP dataset is devised to evaluate techniques dealing with the effects of sensor displacement in wearable activity recognition as well as to benchmark general activity recognition algorithms
450,451. Record Linkage Comparison Patterns, Element-wise comparison of records with personal data from a record linkage setting. The task is to decide from a comparison pattern whether the underlying records belong to one person.
451,452. Refractive errors, Effect of life style and genetic on eye refractive errors.
452,453. REJAFADA ," REJAFADA (Retrieval of Jar Files Applied to Dynamic Analysis) aims to be used, as benchmark, to check the quality of the detection of Jar malware."
453,454. Relative location of CT slices on axial axis, The dataset consists of 384 features extracted from CT images. The class variable is numeric and denotes the relative location of the CT slice on the axial axis of the human body.
454,455. Repeat Consumption Matrices," The dataset contains 7 datasets of User - Item matrices, where each entry represents how many times a user consumed an item. Item is used as an umbrella term for various categories."
455,456. Residential Building Data Set," Data set includes construction cost, sale prices, project variables, and economic variables corresponding to real estate single-family residential apartments in Tehran, Iran."
